Mensaje,Fecha
Feliz cumple atrasado odioso,2/9/2024
Doñaaa feliz san Valentín ,2/8/2024
Por mas clases de madrugada :),2/7/2024
Tqm,2/9/2024
Por siempre RIEN 💗,2/6/2024
,2/7/2024
Feliz San Valentín Amiguito,2/5/2024
Te quiero ,2/6/2024
Adivina quién soy 💇‍♀️🍆 Te extrañ,2/7/2024
Te amo💗,2/8/2024
Espero te guste mi mini regalo,2/8/2024
Hola :),2/7/2024
Para la mejor CEO :D,1/30/2024
te quiero mucho,2/6/2024
TE AMO RATA <3,2/7/2024
:),2/6/2024
Feliz día Meli:3,2/9/2024
Te quiero ,1/31/2024
,1/30/2024
,2/9/2024
,2/2/2024
,2/5/2024
te amo tanto antonelina ,2/8/2024
🎧Mora♡,2/9/2024
Te amamos Julia 😍,2/5/2024
Pene,1/30/2024
Te quiero ñaño no hagas hvds,2/2/2024
Feliz San Valentín T.A.M.❤️,2/7/2024
Te amo leona linda <3,2/8/2024
Te queiro mucho. Fea ,2/4/2024
T equiero mucho :),1/25/2024
,2/3/2024
Para la mejor amiga del mundo,2/6/2024
<3,2/6/2024
,2/8/2024
te quiero ña,2/6/2024
FELIZ DIA DE LA AMISTAD >:D,1/30/2024
Feliz san valentin,2/5/2024
Una rosa para otra rosa 💕,2/5/2024
Feliz día a mi BESTIE 😔💪,1/30/2024
Rosita 🤓🤓,2/6/2024
Pa ti mijin 😈,2/9/2024
Tq disléxica 🫶🏻,2/9/2024
Te quiero ,2/5/2024
hola bebeto,2/9/2024
Te amo corazón ,2/7/2024
Para el mas potaxiano🥑👄🥑gogo,1/31/2024
¡Feliz Día! T.Q.M,2/7/2024
"te amo camilu, feliz dia ",1/29/2024
Te amo mi amor ,2/9/2024
Detallito por las clases 🤘,2/9/2024
para vale la mejor,2/7/2024
Feliz San Valentin Samuu :),2/7/2024
T amo mi bella<3,1/28/2024
tqmgracias por estar siempre<3,1/31/2024
Te amo,2/9/2024
"Tamo Isa,gracias x tu amistad💗",1/30/2024
te recuerdo y extraño  chumami,2/5/2024
Mi corazon encantado por ti,1/29/2024
Para la mejor novia del mundo,2/9/2024
Te quiero mi peque hermosa<3,2/6/2024
Te amo mucho mi Pau lindota♡,2/5/2024
,1/29/2024
FELIZ 14 MI NIÑO LINDO,2/9/2024
Se la quiere muas,2/8/2024
Para ti guapa 🤞💕,1/26/2024
14 hay champions ,2/5/2024
te amo ideka ,2/8/2024
Tqm Amaaaach,2/9/2024
Te quiero feliz san valentin,2/1/2024
Te quiero muchoo ñaña🤍,2/8/2024
,2/6/2024
Te amo príncipe hermoso ,2/6/2024
Te amo mucho bastante,2/8/2024
Putisimo el que lo lea,2/10/2024
,1/27/2024
:),2/1/2024
Te quiero un mundo💓,1/29/2024
Me gustas,2/5/2024
TQM bro att:Gabby de la torre ,2/2/2024
Te amo ire linda 🌷,2/5/2024
"Mi Lu, te quiero un montón!",1/30/2024
Feliz san valentin <3,2/8/2024
deja de ser asalta cunas,1/31/2024
Para más momentos juntas. Tkm,1/28/2024
Pau Pau tqm<3,2/7/2024
Feliz San Valentín te amo 🩷,1/25/2024
Tqm Dieguito,2/2/2024
Se te quiero mucho <33,1/30/2024
"Te amo negrita, eres la mejor ",1/26/2024
siempre t voy a querer ratona💗,1/30/2024
Tkm niña linda eres especial ,2/8/2024
Te amo bésame 🤭,2/5/2024
ig: aariid._,2/8/2024
te amo mucho mi vida <3,2/5/2024
Te quiero mucho negra 💗,1/26/2024
sandiesposa 😻😻😻,1/30/2024
Te quiero mucho 😽😸,2/6/2024
Ojalá cuides JAJAJA :) tqm,1/26/2024
Te amo mucho noviecita ♥️,2/6/2024
Te amo cosa boba❤️,1/29/2024
Para quien ilumina mi mente 🤍,2/5/2024
Te amo sel,2/6/2024
Para la Ailynsita 😽,2/1/2024
Te amo:),2/4/2024
Te amo un mundo ñaña ,2/7/2024
Te amoooo,1/31/2024
,1/28/2024
te quiero full  mi rena bella ,1/31/2024
Ojalá me vieras como yo te veo,1/30/2024
Feliz San Valentín :),2/9/2024
Te amo amor ,1/30/2024
Te amo con todo mi corazon 💕,2/5/2024
Te amo mil millones cosa <33,1/26/2024
Feliz San Valentin :),2/9/2024
te quiero un monton❤,2/8/2024
Te amoo,2/7/2024
Una flor para otra flor,1/25/2024
Te amo:),2/3/2024
te amo vevesota,2/6/2024
te lo juro me encantas,2/5/2024
Te quiero mucho Nicky Sotooo💗,2/9/2024
TQM,2/7/2024
Es una Artista increíble ,2/6/2024
Te amo mi amor ,2/8/2024
Pa que comas algo.,2/7/2024
tqm ojitos bonitos,2/9/2024
Te amo mucho bobo ❤️ ,2/2/2024
Tqm perdóname por todo,2/1/2024
Para mi mejor amigo ;b,2/6/2024
Compra medias para tu DANNA,1/29/2024
Le quiero profe es la mejor ♡,2/7/2024
Por qué lo vales 🌟,2/5/2024
Quiero verte :) xfitas,2/8/2024
El amor verdadero si exite <3,1/31/2024
Feliz día besti ,2/8/2024
Te quiero,2/10/2024
De el que te jodia con cariño ,2/6/2024
"Feliz 14,te invito al golosito",2/7/2024
Ya tenemos collaressssssssssss,2/9/2024
tqm gei <3,2/2/2024
para you♥,2/2/2024
Tqm,2/7/2024
Para mí amigo ,2/6/2024
Feliz san valentin ñañita,2/7/2024
Para la mejor amiga del mundo ,1/30/2024
Te amo sofi me tienes en todo💘,2/7/2024
Para mí ñaña linda 💗,2/6/2024
Feliz cumpleaños mi Sam ,2/5/2024
Feliz San Valentín ,2/1/2024
una rosa para otra rosa ,2/6/2024
Te amo muchísimo amiguita lind,2/2/2024
Te quiero mucho  <3,2/1/2024
Hola vvsita 🫦😍,2/4/2024
t amo ,2/6/2024
Feliz San valentin mi niña ♡,2/7/2024
Tqm Ariel ,2/9/2024
Feliiii dia dayanita tqmm <3,2/3/2024
mi flor favorita eres tu <3,1/29/2024
De un invalido ,2/6/2024
🧸,2/6/2024
para mi dannita,2/7/2024
"familia tenemos q hablar, tqm ",1/31/2024
Para mi Putita <3,2/9/2024
te quiero mucho soy tu fan jaj,1/27/2024
Te quiero mucho amor 💗,2/10/2024
Coche  más poderoso que existe,2/6/2024
Eres lo mejor de todo el mundo,2/7/2024
"Te amo mucho mi amol, mi reyna",2/1/2024
Feliz San Valentin ,2/6/2024
 mi ñañita del alma 💗,2/9/2024
Te quiero un montón,2/8/2024
Te amo con todo mi corazon ♡,2/9/2024
Love uu,2/9/2024
:) ,2/6/2024
Toma bro para ti,2/5/2024
Pa cuando ese fort,2/3/2024
Feliz 14 ñaña TQ,2/9/2024
te amo uno muchito<3,2/9/2024
por la amistad de más de 7años,2/6/2024
Te amo,2/1/2024
Para ti men por qué PS si ,2/1/2024
"Soypobre, tamo mi amorrrr",2/7/2024
Te extrañooo,1/31/2024
<3,1/26/2024
Eres la mejor amiga del mundo,2/5/2024
Te quiero mucho 💗,2/5/2024
.,2/8/2024
Feliz 14 de febrero :),1/31/2024
Eres el mejor!,1/30/2024
,1/26/2024
Feliz San Valentiiin <3,2/8/2024
Para mi mejor amiga.,1/31/2024
Te extrañeeee 😡😭🥸,2/5/2024
Ojalá te guste Luli ,2/7/2024
Te adoro con toda mi vida tlin,2/5/2024
Con cariño tu mamá te ama,2/7/2024
que mas con cariño july,2/6/2024
tqm <3,1/25/2024
Teodio (te amo sorra),2/7/2024
Se te quiere ,2/7/2024
Feliz San Valentin mi vida🩷,2/6/2024
Hola bro disfruta de tu goma,2/5/2024
Me gustas soy de tu curso:),2/4/2024
Guapa sabes que me encantas 💕,2/10/2024
feliz san Valentín Nana Malana,2/6/2024
PARA LA MEJOR RATAAA,2/8/2024
Te quiero muchísimo amor <3,2/6/2024
Gracias por ser mi amiga ,1/29/2024
Gracias por ser mi mejor amiga,1/29/2024
tú rosa solo por bonitaaa💕,2/7/2024
Te amooooo!!,2/7/2024
Gracias por tu linda amistad,2/8/2024
 Feliz san Valentín ❤️❤️ ,2/8/2024
Te quiero  negra ,1/30/2024
"Feliz San Valentin, te amooo ♡",1/25/2024
Tamo mi negra,2/1/2024
"Te amo, Paula <33",1/26/2024
Te amu mucho Anto<3,1/25/2024
para mi ex falso tkm <3,1/31/2024
Con mucho Cariño Thommy V.💕,2/7/2024
hay q irnos de comprasss,2/7/2024
Feliz diaa amy ❤,2/9/2024
camila gay,2/5/2024
Contestame los tík toks,1/30/2024
,1/31/2024
Gracias por ser mi amigo,2/1/2024
Te quiero bastante ,2/8/2024
Gracias por ser mi amiga tqm<3,2/1/2024
Martis eres una gran amiga TQM,1/30/2024
"Hola, te quiro.",2/5/2024
Te quiero full mi guapa 💗,2/2/2024
Feliz San Valentin,2/4/2024
emooooo🩷,2/6/2024
lol,2/6/2024
Te amo fea<3 amor de mi vida,2/9/2024
Tqm💗,2/5/2024
,1/25/2024
Te quiero y me pones muy feliz,2/6/2024
Ten mi amor,2/7/2024
NUNCA DEJES DE ENAMORARME ❤️‍🔥,2/6/2024
Te quiero mucho Karlita  ❤️,2/8/2024
Te como el pipi Pau (M),1/26/2024
Para dejarte de caer mal ,2/2/2024
Te quiero mucho  mi Paz 💋💋💕💕💗💗,1/30/2024
"Te amo mi amor, eres el mejor ",2/6/2024
Te amo mucho ,2/2/2024
Te envío tu regalo de navidad,2/9/2024
De:Juan Martin Feliz S V tqm,2/6/2024
Espero te guste chiquita 😍,1/30/2024
Asome sábado si o q 🫵🏻,2/9/2024
Para una gran amiga 🥰,2/8/2024
Te extraño <3,2/2/2024
t amo sorrita,2/8/2024
Tqm,2/6/2024
no hay presupuesto,1/29/2024
mi tasi hermosa,2/10/2024
Le quero mucho,2/7/2024
Siempre te amaré en secreto <3,1/27/2024
Feliz San Valentin mocosa,2/8/2024
Feliz San Valentín Cuadritos;),2/9/2024
Un pequeño detalle tqm danita,2/6/2024
Te amo rana 🐸 ,2/9/2024
Te amo <3,2/2/2024
Feliz día mi chiquita! ,2/10/2024
Te amo mucho amol,2/1/2024
Tqm ,2/8/2024
Te quiero muchisimo :),2/8/2024
:3,2/6/2024
TQM,2/9/2024
Besotes guapa,2/6/2024
tqm bro ,2/6/2024
t amo mucho mibonito <3,1/30/2024
Te quiero con el alma ,2/6/2024
Flores para una niña bonita TQ,2/7/2024
ola,1/30/2024
Te quierooooo mucho ,2/2/2024
Llegaste y no se como agradece,2/7/2024
"Te amo, eres el más guapo muak",1/29/2024
feliz 14 junma,1/29/2024
"Mi Mileee, c t quiere muchoo<3",1/25/2024
feli141414 amguilloo,2/8/2024
Feliz 14 pandita ,2/7/2024
"te amo , te extraño ",2/1/2024
Se te ama sapita,2/7/2024
Feliz San Valentín Lizz<3,2/8/2024
Para que recuerdes que te amo ,2/5/2024
,2/10/2024
Te amooo isa hermosa ,2/3/2024
Feliz san valentin fea,1/31/2024
Maldita brujaaa,1/29/2024
<3,2/7/2024
Tqm abicita feliz día:3,2/9/2024
Te amo león.,2/7/2024
Feliz día te quiero mucho,1/31/2024
Amor de mi vidaaaaaaaaaaaaaaaa,2/8/2024
"mi nenaaa bailarina, te amo",1/31/2024
Como no darte a ti  ,2/6/2024
Te quiero un montón pequeñuela,2/8/2024
La mejor amiga 🫶🏻,1/31/2024
te quiero emilitaaa,2/5/2024
Te extraño mucho ,2/1/2024
Espero la pases bien ,1/28/2024
Para que no jodas crvrg,2/6/2024
Gracias por ser mi mejor amiga,2/7/2024
Para cuándo me invitas al gym?,2/6/2024
"Espero que te guste, te quiero",1/30/2024
04-❤️,2/9/2024
Te quiero mucho mi Less.,2/7/2024
Te amo adita💗,1/26/2024
Si tu fueras una araña?,2/9/2024
Te quiero mucho💗,2/7/2024
tqm <3 ,2/8/2024
Te amo memily 💝💝,2/2/2024
Guapa,2/6/2024
Te quiero mi bonita ,2/7/2024
Para ti pndj♡,2/9/2024
grspor ayudarme con la ine,2/8/2024
Te quiero Camila jajajaj,2/3/2024
Te quiero muchooo,2/9/2024
Te quiero mucho mi niña ,2/8/2024
"Para mi real , TQM",1/30/2024
Te amo con mi vida :D,2/6/2024
tamo gracias por simepre estar,1/26/2024
Eres mi vida entera,2/7/2024
U are hot cupcais ,2/1/2024
Feliz San Valentín 🤍,2/5/2024
